Company name,Image path,Top-left coord,Bottom-Right coord,Cookies ?
Aviva,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\aviva.png,"(327, 900)","(402, 926)",True
Axa,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\axa.png,"(29, 779)","(101, 799)",True
Bankcomm,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bankcomm.png,-,-,False
Bankofamerica,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bankofamerica.png,-,-,False
Basf,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\basf.png,"(658, 366)","(791, 385)",True
Bat,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bat.png,"(31, 1012)","(999, 1031)",True
Bayer,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bayer.png,-,-,False
Bb,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bb.png,-,-,False
Bbva,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bbva.png,"(255, 955)","(989, 973)",True
Berkshirehathaway,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\berkshirehathaway.png,-,-,False
Bharatpetroleum,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bharatpetroleum.png,-,-,False
Bhp,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bhp.png,-,-,False
Bms,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bms.png,"(51, 883)","(509, 901)",True
Bmwgroup,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bmwgroup.png,"(128, 863)","(339, 899)",True
Boc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\boc.png,-,-,False
Boeing,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\boeing.png,-,-,False
Bosch,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bosch.png,-,-,False
Bouygues,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bouygues.png,"(711, 13)","(877, 31)",True
Bp,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bp.png,-,-,False
Bradesco,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bradesco.png,"(426, 982)","(1216, 1008)",True
Bridgestone,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bridgestone.png,-,-,False
Brookfield,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\brookfield.png,"(28, 944)","(200, 968)",True
Bunge,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\bunge.png,-,-,False
Capitalone,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\capitalone.png,-,-,False
Cardinalhealth,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cardinalhealth.png,-,-,False
Carmax,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\carmax.png,-,-,False
Carrefour,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\carrefour.png,-,-,False
Cathayholdings,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cathayholdings.png,-,-,False
Cdxctz,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cdxctz.png,-,-,False
Cec,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cec.png,-,-,False
Ceic,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ceic.png,-,-,False
Centene,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\centene.png,"(580, 8)","(1288, 32)",True
Charter,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\charter.png,-,-,False
Chevron,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chevron.png,-,-,False
Chinaconch,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chinaconch.png,-,-,False
Chinalco,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chinalco.png,-,-,False
Chinalife,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chinalife.png,-,-,False
Chinatelecom,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chinatelecom.png,-,-,False
Chinaunicom-a,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chinaunicom-a.png,-,-,False
Chinavalin,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chinavalin.png,-,-,False
Chng,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chng.png,-,-,False
