Company name,Image path,Top-left coord,Bottom-Right coord,Cookies ?
Americantower,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\americantower.png,"(27, 1007)","(233, 1027)",True
Ameriprise,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ameriprise.png,-,-,False
Amerisourcebergen,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\amerisourcebergen.png,"(397, 915)","(747, 935)",True
Amfam,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\amfam.png,-,-,False
Amgen,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\amgen.png,"(273, 891)","(787, 909)",True
Analog,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\analog.png,"(30, 1014)","(310, 1042)",True
Andersonsinc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\andersonsinc.png,"(382, 846)","(1458, 870)",True
Apa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\apa.png,-,-,False
Apollo,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\apollo.png,"(40, 988)","(556, 1012)",True
Apple,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\apple.png,-,-,False
Appliedmaterials,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\appliedmaterials.png,"(331, 1008)","(1073, 1027)",True
Aramark,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\aramark.png,-,-,False
Arconic,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\arconic.png,"(42, 18)","(1036, 47)",True
Arkocorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\arkocorp.png,-,-,False
Arrow,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\arrow.png,-,-,False
Asburyauto,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\asburyauto.png,-,-,False
Assurant,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\assurant.png,"(342, 840)","(578, 868)",True
Att,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\att.png,-,-,False
Autoliv,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\autoliv.png,"(30, 36)","(464, 62)",True
Autonation,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\autonation.png,-,-,False
Autozone,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\autozone.png,-,-,False
Avantorsciences,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\avantorsciences.png,-,-,False
Averydennison,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\averydennison.png,"(31, 1031)","(211, 1051)",True
Avnet,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\avnet.png,-,-,False
Bakerhughes,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bakerhughes.png,"(663, 151)","(777, 169)",True
Ball,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ball.png,"(1544, 722)","(1742, 748)",True
Bankofamerica,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bankofamerica.png,-,-,False
