Name,Image-path,Result,Pattern list
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bmwgroup,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bmwgroup.png,True,['Image crop error']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/boc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/boc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/boeing,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/boeing.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bosch,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bosch.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bouygues,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bouygues.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bp,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bp.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bradesco,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bradesco.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bridgestone,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bridgestone.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/brookfield,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/brookfield.png,True,['Sneaking']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bunge,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bunge.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/capitalone,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/capitalone.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cardinalhealth,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cardinalhealth.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/carmax,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/carmax.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/carrefour,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/carrefour.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cathayholdings,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cathayholdings.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cdxctz,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cdxctz.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cec,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cec.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/ceic,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/ceic.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/centene,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/centene.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/charter,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/charter.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chevron,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chevron.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chinaconch,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chinaconch.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chinalco,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chinalco.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chinalife,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chinalife.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chinatelecom,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chinatelecom.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chinaunicom-a,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chinaunicom-a.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chinavalin,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chinavalin.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chng,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chng.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chsinc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chsinc.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/chubb,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/chubb.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cib,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cib.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cigna,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cigna.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cisco,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cisco.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/citigroup,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/citigroup.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/ckh,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/ckh.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cma-cgm,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cma-cgm.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cmbc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cmbc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cmbchina,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cmbchina.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cnaf,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cnaf.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cnbm,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cnbm.png,False,[]
