Company name,Image path,Top-left coord,Bottom-Right coord
Ball,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ball.png,"(1544, 722)","(1742, 748)"
Bathandbodyworks,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bathandbodyworks.png,"(707, 801)","(1239, 819)"
Baxter,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\baxter.png,"(49, 885)","(197, 903)"
Bc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bc.png,"(22, 1026)","(600, 1050)"
Berkley,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\berkley.png,"(31, 1031)","(1005, 1050)"
Berryglobal,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\berryglobal.png,"(31, 1019)","(211, 1037)"
Biogen,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\biogen.png,"(450, 982)","(1454, 1006)"
Blackrock,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\blackrock.png,"(671, 147)","(1257, 167)"
Blackstone,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\blackstone.png,"(31, 1009)","(1407, 1029)"
Bldr,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bldr.png,"(105, 769)","(429, 807)"
Bms,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bms.png,"(51, 883)","(509, 901)"
Bnymellon,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bnymellon.png,"(31, 931)","(191, 947)"
Boeing,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\boeing.png,"(31, 1031)","(993, 1047)"
Borgwarner,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\borgwarner.png,"(636, 870)","(838, 894)"
Broadcom,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\broadcom.png,"(1131, 942)","(1577, 960)"
Burlington,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\burlington.png,"(31, 994)","(205, 1012)"
Caesars,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\caesars.png,"(31, 1021)","(289, 1037)"
Campbells,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\campbells.png,"(841, 931)","(1063, 951)"
Cbrands,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cbrands.png,"(671, 151)","(795, 165)"
Cdw,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cdw.png,"(31, 1029)","(1039, 1049)"
Centene,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\centene.png,"(580, 8)","(1288, 32)"
Chrobinson,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\chrobinson.png,"(49, 1017)","(995, 1035)"
